French,English
histoire,history
seulement,only
police,police
genre,kind
mois,month
frère,brother
car,because
laisse,leash
eux,them
chaque,each
parlé,speak
devrait,should
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
étaient,were
type,type
train,train
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
matin,morning
enfant,child
venu,came
venez,come
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
terre,Earth
fin,end
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
